frame_num,player_1_pos,player_2_pos,ball_pos
0,"(np.float32(1676.0527), np.float32(537.4403))","(np.float32(1778.5995), np.float32(71.050865))","(np.float32(1761.7775), np.float32(432.77383))"
1,"(np.float32(1676.6228), np.float32(537.4745))","(np.float32(1779.8021), np.float32(70.86215))","(np.float32(1761.7775), np.float32(432.77383))"
2,"(np.float32(1677.4453), np.float32(537.28046))","(np.float32(1779.2008), np.float32(70.96431))","(np.float32(1757.4999), np.float32(423.39502))"
3,"(np.float32(1678.8634), np.float32(537.1119))","(np.float32(1779.2008), np.float32(71.053185))","(np.float32(1759.6805), np.float32(421.7049))"
4,"(np.float32(1680.2574), np.float32(536.9864))","(np.float32(1777.0715), np.float32(71.29555))","(np.float32(1761.722), np.float32(420.1499))"
5,"(np.float32(1681.9777), np.float32(536.9086))","(np.float32(1777.9579), np.float32(71.34333))","(np.float32(1763.9825), np.float32(422.11652))"
6,"(np.float32(1684.7838), np.float32(536.8352))","(np.float32(1777.855), np.float32(71.52317))","(np.float32(1766.0457), np.float32(424.23364))"
7,"(np.float32(1686.7878), np.float32(536.7321))","(np.float32(1777.4325), np.float32(71.6488))","(np.float32(1767.2955), np.float32(425.8524))"
8,"(np.float32(1690.2102), np.float32(536.7097))","(np.float32(1776.6885), np.float32(71.1753))","(np.float32(1769.9031), np.float32(429.60083))"
9,"(np.float32(1692.492), np.float32(536.649))","(np.float32(1776.1431), np.float32(71.0598))","(np.float32(1772.1848), np.float32(432.86032))"
10,"(np.float32(1693.7958), np.float32(536.6259))","(np.float32(1775.8778), np.float32(71.9157))","(np.float32(1711.2341), np.float32(539.1547))"
11,"(np.float32(1694.2847), np.float32(536.5779))","(np.float32(1775.8401), np.float32(72.33349))","(np.float32(1773.1626), np.float32(429.43784))"
12,"(np.float32(1695.0995), np.float32(536.3901))","(np.float32(1774.7695), np.float32(72.567665))","(np.float32(1771.6958), np.float32(423.7337))"
13,"(np.float32(1696.0774), np.float32(535.9429))","(np.float32(1772.5056), np.float32(72.42812))","(np.float32(1770.2291), np.float32(421.8428))"
14,"(np.float32(1698.0331), np.float32(535.4383))","(np.float32(1770.4683), np.float32(72.34479))","(np.float32(1769.0883), np.float32(428.36182))"
15,"(np.float32(1700.3147), np.float32(533.76495))","(np.float32(1769.3475), np.float32(72.34152))","(np.float32(1767.1326), np.float32(434.71786))"
16,"(np.float32(1701.6185), np.float32(533.09656))","(np.float32(1769.3475), np.float32(72.23119))","(np.float32(1766.4806), np.float32(437.48846))"
17,"(np.float32(1703.7372), np.float32(532.8445))","(np.float32(1769.621), np.float32(71.5155))","(np.float32(1765.2784), np.float32(197.44043))"
18,"(np.float32(1706.3448), np.float32(533.3714))","(np.float32(1769.621), np.float32(70.67007))","(np.float32(1764.3005), np.float32(194.18092))"
19,"(np.float32(1708.1376), np.float32(533.40155))","(np.float32(1769.621), np.float32(70.10285))","(np.float32(1775.7449), np.float32(201.50702))"
20,"(np.float32(1710.0933), np.float32(533.72687))","(np.float32(1769.8945), np.float32(70.756325))","(np.float32(1774.104), np.float32(196.03767))"
21,"(np.float32(1711.886), np.float32(533.9406))","(np.float32(1770.168), np.float32(70.79759))","(np.float32(1772.1898), np.float32(190.56834))"
22,"(np.float32(1712.8639), np.float32(534.093))","(np.float32(1770.168), np.float32(70.72257))","(np.float32(1770.549), np.float32(184.82553))"
23,"(np.float32(1714.4937), np.float32(533.94775))","(np.float32(1769.8945), np.float32(70.82235))","(np.float32(1768.9082), np.float32(179.35619))"
24,"(np.float32(1716.4493), np.float32(534.01624))","(np.float32(1769.3475), np.float32(70.89136))","(np.float32(1768.0878), np.float32(176.34805))"
25,"(np.float32(1717.9161), np.float32(533.9995))","(np.float32(1768.8005), np.float32(71.19629))","(np.float32(1767.2673), np.float32(176.74213))"
26,"(np.float32(1719.8718), np.float32(534.178))","(np.float32(1767.1598), np.float32(71.36097))","(np.float32(1766.1735), np.float32(179.75026))"
27,"(np.float32(1721.8275), np.float32(534.58215))","(np.float32(1764.972), np.float32(71.05887))","(np.float32(1764.8062), np.float32(182.7584))"
28,"(np.float32(1723.1313), np.float32(534.84827))","(np.float32(1763.8782), np.float32(70.010185))","(np.float32(1719.0295), np.float32(80.661316))"
29,"(np.float32(1724.435), np.float32(535.1894))","(np.float32(1763.0579), np.float32(70.11991))","(np.float32(1720.397), np.float32(77.653175))"
30,"(np.float32(1725.087), np.float32(535.71747))","(np.float32(1761.9639), np.float32(70.33643))","(np.float32(1721.7643), np.float32(75.73891))"
31,"(np.float32(1725.413), np.float32(535.97986))","(np.float32(1761.417), np.float32(70.56684))","(np.float32(1722.0377), np.float32(74.9185))"
32,"(np.float32(1725.9019), np.float32(536.0331))","(np.float32(1760.8701), np.float32(70.63228))","(np.float32(1722.8582), np.float32(74.37157))"
33,"(np.float32(1726.4172), np.float32(535.8303))","(np.float32(1760.3231), np.float32(70.55751))","(np.float32(1723.6785), np.float32(73.55117))"
34,"(np.float32(1727.2294), np.float32(535.65924))","(np.float32(1759.7762), np.float32(70.29275))","(np.float32(1724.4989), np.float32(73.004234))"
35,"(np.float32(1728.4481), np.float32(535.6381))","(np.float32(1758.9558), np.float32(70.25203))","(np.float32(1725.3193), np.float32(72.18383))"
36,"(np.float32(1730.1998), np.float32(535.9628))","(np.float32(1758.4088), np.float32(70.034615))","(np.float32(1726.1398), np.float32(71.36343))"
37,"(np.float32(1731.3132), np.float32(536.3386))","(np.float32(1757.8619), np.float32(70.17637))","(np.float32(1726.9601), np.float32(70.8165))"
