frame_num,player_1_pos,player_2_pos,ball_pos
0,"(np.float32(1691.8846), np.float32(537.13727))","(np.float32(1794.7847), np.float32(71.052635))","(np.float32(1751.0765), np.float32(431.9253))"
1,"(np.float32(1692.3329), np.float32(537.1738))","(np.float32(1795.9873), np.float32(70.86392))","(np.float32(1751.0765), np.float32(431.9253))"
2,"(np.float32(1692.9348), np.float32(536.98395))","(np.float32(1795.386), np.float32(70.96608))","(np.float32(1751.5522), np.float32(422.9234))"
3,"(np.float32(1694.1871), np.float32(536.81854))","(np.float32(1795.386), np.float32(71.054955))","(np.float32(1753.7966), np.float32(421.2383))"
4,"(np.float32(1695.4833), np.float32(536.69495))","(np.float32(1792.9749), np.float32(71.29729))","(np.float32(1755.8757), np.float32(420.6135))"
5,"(np.float32(1697.1721), np.float32(536.6178))","(np.float32(1793.8611), np.float32(71.34507))","(np.float32(1758.1482), np.float32(422.57916))"
6,"(np.float32(1699.9294), np.float32(536.5453))","(np.float32(1793.7463), np.float32(71.52491))","(np.float32(1760.2301), np.float32(424.6948))"
7,"(np.float32(1701.8947), np.float32(536.44293))","(np.float32(1793.2753), np.float32(71.650536))","(np.float32(1761.4949), np.float32(426.31235))"
8,"(np.float32(1705.3171), np.float32(536.42053))","(np.float32(1792.4454), np.float32(71.177025))","(np.float32(1764.1025), np.float32(430.0608))"
9,"(np.float32(1707.5988), np.float32(536.3598))","(np.float32(1791.8037), np.float32(71.05809))","(np.float32(1766.3842), np.float32(433.32028))"
10,"(np.float32(1708.9026), np.float32(536.33673))","(np.float32(1791.4413), np.float32(71.914))","(np.float32(1726.341), np.float32(539.4439))"
11,"(np.float32(1709.3915), np.float32(536.28876))","(np.float32(1791.3662), np.float32(72.331795))","(np.float32(1767.3619), np.float32(429.8978))"
12,"(np.float32(1710.2063), np.float32(536.1009))","(np.float32(1790.1406), np.float32(72.56598))","(np.float32(1765.8953), np.float32(424.19366))"
13,"(np.float32(1711.1842), np.float32(535.6537))","(np.float32(1787.6185), np.float32(72.42647))","(np.float32(1764.4285), np.float32(421.38284))"
